Layer,M,N,K,
Attn_Q_proj,256,384,384,
Attn_K_proj,256,384,384,
Attn_V_proj,256,384,384,
QKT_head,256,512,64,
QKTV_head,256,64,512,
Attn_O_proj,256,384,384,
Router_logits,256,8,384,
MoE-E0-FF1,74,2688,384,
MoE-E0-FF2,74,384,1344,
MoE-E1-FF1,48,2688,384,
MoE-E1-FF2,48,384,1344,
MoE-E2-FF1,24,2688,384,
MoE-E2-FF2,24,384,1344,
MoE-E3-FF1,38,2688,384,
MoE-E3-FF2,38,384,1344,
MoE-E4-FF1,26,2688,384,
MoE-E4-FF2,26,384,1344,
MoE-E5-FF1,12,2688,384,
MoE-E5-FF2,12,384,1344,
MoE-E6-FF1,16,2688,384,
MoE-E6-FF2,16,384,1344,
MoE-E7-FF1,18,2688,384,
MoE-E7-FF2,18,384,1344,
