Layer,M,N,K,
Attn_Q_proj,256,96,96,
Attn_K_proj,256,96,96,
Attn_V_proj,256,96,96,
QKT_head,256,128,16,
QKTV_head,256,16,128,
Attn_O_proj,256,96,96,
Router_logits,256,8,96,
MoE-E0-FF1,76,672,96,
MoE-E0-FF2,76,96,336,
MoE-E1-FF1,43,672,96,
MoE-E1-FF2,43,96,336,
MoE-E2-FF1,35,672,96,
MoE-E2-FF2,35,96,336,
MoE-E3-FF1,35,672,96,
MoE-E3-FF2,35,96,336,
MoE-E4-FF1,14,672,96,
MoE-E4-FF2,14,96,336,
MoE-E5-FF1,23,672,96,
MoE-E5-FF2,23,96,336,
MoE-E6-FF1,14,672,96,
MoE-E6-FF2,14,96,336,
MoE-E7-FF1,16,672,96,
MoE-E7-FF2,16,96,336,
