Layer,M,N,K,
Attn_Q_proj,256,96,96,
Attn_K_proj,256,96,96,
Attn_V_proj,256,96,96,
QKT_head,256,128,16,
QKTV_head,256,16,128,
Attn_O_proj,256,96,96,
Router_logits,256,8,96,
MoE-E0-FF1,125,384,96,
MoE-E0-FF2,125,96,384,
MoE-E1-FF1,54,384,96,
MoE-E1-FF2,54,96,384,
MoE-E2-FF1,30,384,96,
MoE-E2-FF2,30,96,384,
MoE-E3-FF1,17,384,96,
MoE-E3-FF2,17,96,384,
MoE-E4-FF1,5,384,96,
MoE-E4-FF2,5,96,384,
MoE-E5-FF1,8,384,96,
MoE-E5-FF2,8,96,384,
MoE-E6-FF1,10,384,96,
MoE-E6-FF2,10,96,384,
MoE-E7-FF1,7,384,96,
MoE-E7-FF2,7,96,384,
