Layer,M,N,K,
Attn_Q_proj,256,96,96,
Attn_K_proj,256,96,96,
Attn_V_proj,256,96,96,
QKT_head,256,128,16,
QKTV_head,256,16,128,
Attn_O_proj,256,96,96,
Router_logits,256,8,96,
MoE-E0-FF1,125,384,96,
MoE-E0-FF2,125,96,384,
MoE-E1-FF1,57,384,96,
MoE-E1-FF2,57,96,384,
MoE-E2-FF1,33,384,96,
MoE-E2-FF2,33,96,384,
MoE-E3-FF1,11,384,96,
MoE-E3-FF2,11,96,384,
MoE-E4-FF1,8,384,96,
MoE-E4-FF2,8,96,384,
MoE-E5-FF1,8,384,96,
MoE-E5-FF2,8,96,384,
MoE-E6-FF1,6,384,96,
MoE-E6-FF2,6,96,384,
MoE-E7-FF1,8,384,96,
MoE-E7-FF2,8,96,384,
